location,max_wid,min_wid,percent_kelp,abund_amphipod,abund_marine_invert
Dry,86.0,20.0,0.04,70,0
Wet,46.0,9.1,0.85,6,0
Wet,49.0,11.5,0.95,7,0
Wet,65.0,4.2,0.8,1,1
Wet,12.0,5.0,0.02,0,0
Wet,7.5,3.5,0.04,0,0
Wet,14.0,1.5,0.3,0,0
Wet,19.0,7.5,0.01,0,0
Wet,25.0,0.5,0.2,3,0
Wet,67.0,12.0,0.05,8,0
Wet,45.5,14.5,0.3,1,1
Wet,26.0,9.0,0.4,6,3
Wet,25.0,10.0,0.95,10,1
Wet,15.0,4.0,0.7,2,1
Wet,25.0,16.0,0.95,11,0
Dry,48.0,5.0,0.5,15,1
Dry,38.5,15.0,0.98,9,4
Dry,22.0,11.5,0.2,0,0
Dry,9.0,3.0,0.2,0,0
Dry,46.0,38.0,0.95,1,0
Wet,40.5,16.1,0.98,10,0
Wet,49.4,7.0,0.8,5,6
Wet,38.3,11.3,0.95,3,0
Wet,55.1,6.2,0.98,1,0
Wet,21.2,11.0,0.4,1,6
Dry,20.9,5.9,0.3,6,2
Dry,19.5,4.2,0.05,1,0
Dry,25.5,10.3,0.99,4,1
Dry,13.8,6.8,0.97,1,25
Dry,16.4,4.3,0.05,2,1
Dry,25.0,17.0,0.2,0,0
Dry,90.0,11.0,0.25,0,2
Dry,24.0,7.0,0.4,0,2
Dry,70.0,20.0,0.98,10,0
Dry,22.0,7.0,0.03,5,6
Wet,37.0,7.0,0.35,4,3
Wet,31.0,16.0,0.5,0,0
Wet,15.0,5.0,1.0,0,0
Wet,100.0,30.0,0.95,5,5
Wet,34.0,6.0,0.95,0,0
Wet,27.0,21.0,0.99,4,2
Wet,28.0,11.0,0.05,0,3
Wet,18.0,5.0,0.85,0,0
Wet,243.0,4.0,0.95,11,1
Wet,9.0,3.0,0.3,0,1
Dry,82.0,3.0,0.7,1,0
Dry,29.0,19.0,0.98,0,0
Dry,110.0,60.0,0.96,2,0
Dry,196.0,1.0,0.99,55,1
Dry,134.0,1.0,0.09,0,0
Wet,54.0,16.0,0.96,3,3
Wet,19.5,9.0,0.7,0,5
Wet,20.0,5.0,0.5,1,2
Dry,28.0,15.0,0.98,0,0
Dry,14.0,7.5,0.2,0,0
Wet,21.0,12.0,0.5,0,2
Wet,24.0,11.0,0.2,1,4
Dry,21.0,9.0,0.3,0,3
Dry,10.0,6.0,0.4,0,0
Dry,24.0,14.0,0.2,0,1
Dry,52.0,7.0,0.99,2,11
Dry,32.0,20.0,0.6,4,2
Dry,32.0,1.0,0.03,0,1
Dry,106.0,0.5,0.65,0,0
Dry,34.0,10.0,0.4,0,2
Wet,30.0,5.0,0.98,3,2
Wet,45.0,7.0,0.85,2,3
Wet,39.0,7.0,0.99,7,6
Wet,33.0,7.0,0.65,2,10
Wet,78.0,5.0,0.4,0,7
Wet,17.0,5.5,0.7,2,0
Wet,27.0,4.0,0.4,1,2
Wet,32.0,0.5,0.95,5,1
Wet,23.0,8.0,0.6,0,2
Wet,44.0,0.125,0.98,0,4
Dry,62.5,7.75,0.99,2,0
Dry,49.0,12.5,0.65,1,1
Dry,15.5,6.5,0.9,0,0
Dry,26.0,4.0,0.8,0,0
Dry,61.0,5.0,0.09,1,4
Dry,56.0,15.0,0.2,0,0
Dry,13.0,4.0,0.0,0,0
Dry,38.0,9.0,0.85,5,3
Dry,30.0,18.0,0.1,0,0
Dry,33.0,30.0,0.75,0,0
Wet,270.0,4.0,0.9,0,1
Wet,38.0,4.0,0.05,0,0
Wet,48.0,24.0,0.25,1,1
Wet,63.0,2.0,0.4,0,2
Wet,29.0,14.0,0.85,0,2
Dry,50.0,20.0,0.7,1,0
Dry,90.0,10.0,0.65,2,0
Dry,60.0,10.0,0.95,0,2
Dry,120.0,20.0,0.4,80,0
Dry,40.0,5.0,0.1,100,5
Wet,75.0,12.0,0.3,0,2
Wet,55.0,5.0,0.45,0,3
Wet,80.0,8.0,0.6,2,0
Wet,40.0,10.0,0.5,14,0
Wet,80.0,25.0,0.8,5,1
Wet,54.0,16.0,0.96,3,3
Wet,19.5,9.0,0.7,0,5
Wet,20.0,5.0,0.5,1,2
Dry,28.0,15.0,0.98,0,0
Dry,14.0,7.5,0.2,0,0
Wet,21.0,12.0,0.5,0,2
Wet,24.0,11.0,0.2,1,4
Dry,21.0,9.0,0.3,0,3
Dry,10.0,6.0,0.4,0,0
Dry,24.0,14.0,0.2,0,1
Dry,53.0,28.0,0.95,3,21
Dry,38.0,22.0,0.85,4,37
Dry,35.0,20.0,0.9,2,28
Wet,25.0,1.0,0.98,1,0
Wet,26.0,12.0,0.75,0,2
Dry,48.0,4.0,0.4,4,3
Dry,29.0,8.0,0.8,4,0
Wet,50.0,9.0,0.4,10,2
Wet,47.0,6.0,0.3,1,4
Wet,46.0,0.5,0.9,22,3
